_id,theaterId,location.address.street1,location.address.city,location.address.state,location.address.zipcode,location.geo.type,location.geo.coordinates[0],location.geo.coordinates[1],location.address.street2
59a47286cfa9a3a73e51e72d,1003,45235 Worth Ave.,California,MD,20619,Point,-76.512016,38.29697,
59a47286cfa9a3a73e51e730,1002,1900 E Rio Salado Pkwy,Tempe,AZ,85281,Point,-111.89966,33.430729,
59a47286cfa9a3a73e51e736,1017,4325 Sunset Dr,San Angelo,TX,76904,Point,-100.50107,31.435648,
59a47286cfa9a3a73e51e737,1018,1307 E Gladstone St,Glendora,CA,91740,Point,-117.83625,34.11612,
59a47286cfa9a3a73e51e739,1011,740 S Sepulveda Blvd,El Segundo,CA,90245,Point,-118.3960826,33.9051385,
59a47286cfa9a3a73e51e73d,1020,79220 Hwy 111,La Quinta,CA,92253,Point,-116.28111,33.709164,
59a47286cfa9a3a73e51e740,1022,609 Potomac Station Dr NE,Leesburg,VA,20176,Point,-77.532104,39.098255,
59a47286cfa9a3a73e51e745,1037,312 Newnan Crossing Byp E,Newnan,GA,30265,Point,-84.758972,33.393749,
59a47286cfa9a3a73e51e74c,1047,2411 S Kensington Dr,Appleton,WI,54915,Point,-88.359596,44.241451,
59a47286cfa9a3a73e51e750,1039,115 Lycoming Mall Cir,Muncy,PA,17756,Point,-76.831116,41.244911,
59a47286cfa9a3a73e51e751,103,17545 Gale Ave,City Of Industry,CA,91748,Point,-117.92119,33.996811,
59a47286cfa9a3a73e51e759,1049,2703 Hwy 54,Peachtree City,GA,30269,Point,-84.597,33.397484,
59a47286cfa9a3a73e51e75a,1051,7001 Fayetteville Rd,Durham,NC,27713,Point,-78.934631,35.907135,
59a47286cfa9a3a73e51e763,1061,101 General Stillwell Dr,Marina,CA,93933,Point,-121.81196,36.66708,
59a47286cfa9a3a73e51e765,1066,7330 191st St,Tinley Park,IL,60477,Point,-87.798416,41.550053,
59a47286cfa9a3a73e51e766,1076,32937 Temecula Parkway 79,Temecula,CA,92592,Point,-117.081023,33.484079,
59a47286cfa9a3a73e51e72e,1008,1621 E Monte Vista Ave,Vacaville,CA,95688,Point,-121.96328,38.367649,
59a47286cfa9a3a73e51e731,1010,1025 Veterans Pkwy,Clarksville,IN,47129,Point,-85.76461,38.327175,
59a47286cfa9a3a73e51e733,1012,1207 W Century Ave,Bismarck,ND,58503,Point,-100.81213,46.829876,
59a47286cfa9a3a73e51e73a,1019,390 Northridge Mall,Salinas,CA,93906,Point,-121.65946,36.715809,
59a47286cfa9a3a73e51e73f,1023,823 N Creek Dr,Sherman,TX,75092,Point,-96.608055,33.685692,
59a47286cfa9a3a73e51e746,1029,3105 E Main St,Mohegan Lake,NY,10547,Point,-73.871277,41.310825,
59a47286cfa9a3a73e51e74a,1031,1740 30th St,Boulder,CO,80301,Point,-105.25302,40.01675,
59a47286cfa9a3a73e51e74b,1032,1900 Market Place Blvd,Irving,TX,75063,Point,-96.972069,32.920174,
59a47286cfa9a3a73e51e74e,1036,950 County Road 64,Elmira,NY,14903,Point,-76.874817,42.153339,
59a47286cfa9a3a73e51e74f,102,1800 Plaza Dr.,West Covina,CA,91790,Point,-117.92427,34.071552,
59a47286cfa9a3a73e51e755,1055,1235 Town Centre Dr,Eagan,MN,55123,Point,-93.152992,44.83189,Ste F1
59a47286cfa9a3a73e51e756,1016,2407 Highway 93 N,Kalispell,MT,59901,Point,-114.33124,48.239506,
59a47286cfa9a3a73e51e764,1063,1018 24th Ave SW,Minot,ND,58701,Point,-101.30759,48.203568,
59a47286cfa9a3a73e51e768,1077,2200 El Mercado Loop,Sierra Vista,AZ,85635,Point,-110.25728,31.529169,
59a47286cfa9a3a73e51e769,105,12260 Foothill Blvd,Rancho Cucamonga,CA,91739,Point,-117.537857,34.10677,
59a47286cfa9a3a73e51e76b,1073,6020 Broadway St,Quincy,IL,62305,Point,-91.321,39.93423,
59a47286cfa9a3a73e51e734,1009,6310 E Pacific Coast Hwy,Long Beach,CA,90803,Point,-118.11414,33.760353,
59a47286cfa9a3a73e51e735,1013,9901 Brook Rd,Glen Allen,VA,23059,Point,-77.459908,37.667957,
59a47286cfa9a3a73e51e738,1015,1721 Osgood Dr,Altoona,PA,16602,Point,-78.382912,40.490524,
59a47286cfa9a3a73e51e73c,1021,700 Du Bois St,San Rafael,CA,94901,Point,-122.51875,37.966579,
59a47286cfa9a3a73e51e73e,1026,95 Elm St,Enfield,CT,06082,Point,-72.583824,41.998211,
59a47286cfa9a3a73e51e741,1025,17200 Mercantile Blvd,Noblesville,IN,46060,Point,-85.990822,40.038788,
59a47286cfa9a3a73e51e747,1038,6060 Long Prairie Rd,Flower Mound,TX,75028,Point,-97.080109,33.06926,
59a47286cfa9a3a73e51e749,1034,3404 W 13th St,Grand Island,NE,68803,Point,-98.382164,40.933624,
59a47286cfa9a3a73e51e74d,1035,2041 Highway 287 N,Mansfield,TX,76063,Point,-97.150681,32.598038,
59a47286cfa9a3a73e51e754,1045,2460 E Charleston Rd,Mountain View,CA,94043,Point,-122.09568,37.423073,
59a47286cfa9a3a73e51e757,1048,17800 S Halsted St,Homewood,IL,60430,Point,-87.637192,41.56646,
59a47286cfa9a3a73e51e75b,1052,1145 Commons Cir,Plover,WI,54467,Point,-89.515335,44.522335,
59a47286cfa9a3a73e51e75c,104,5000 W 147th St,Hawthorne,CA,90250,Point,-118.36559,33.897167,
