_id,client,command.drop,keyUpdates,lockStats.timeAcquiringMicros.r,lockStats.timeAcquiringMicros.w,lockStats.timeLockedMicros.r,lockStats.timeLockedMicros.w,millis,ns,ntoreturn,numYield,op,responseLength,ts,user,nreturned,nscanned,ntoskip,query.expireAfterSeconds.$exists,query.student_id,cursorid,query.$snapshot,query.class_id,command.profile
552786262cec76ed95fd61cb,127.0.0.1,student_grades,0,0,4,0,1481,1,school2.$cmd,1,0,command,129,2012-11-20T20:02:24.386Z,,,,,,,,,,
552786262cec76ed95fd61cd,127.0.0.1,,0,0,5,0,5143,5,school2.student_grades,,0,insert,,2012-11-20T20:02:37.096Z,,,,,,,,,,
552786262cec76ed95fd61cf,127.0.0.1,,0,0,2,0,16,0,school2.student_grades,,0,insert,,2012-11-20T20:02:37.097Z,,,,,,,,,,
552786262cec76ed95fd61d2,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:37.098Z,,,,,,,,,,
552786262cec76ed95fd61d5,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:37.098Z,,,,,,,,,,
552786262cec76ed95fd61da,127.0.0.1,,0,0,3,0,17,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.974Z,,,,,,,,,,
552786262cec76ed95fd61de,127.0.0.1,,0,0,2,0,16,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.975Z,,,,,,,,,,
552786262cec76ed95fd61e0,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.975Z,,,,,,,,,,
552786262cec76ed95fd61e2,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.976Z,,,,,,,,,,
552786262cec76ed95fd61e8,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:53.471Z,,,,,,,,,,
552786262cec76ed95fd61f2,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:00.831Z,,,,,,,,,,
552786262cec76ed95fd61f7,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:05.959Z,,,,,,,,,,
552786262cec76ed95fd61f9,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:00.831Z,,,,,,,,,,
552786262cec76ed95fd61fe,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:05.961Z,,,,,,,,,,
552786262cec76ed95fd6205,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:10.850Z,,,,,,,,,,
552786262cec76ed95fd61cc,0.0.0.0,,0,2,120711,58,0,0,school2.system.indexes,0,0,query,20,2012-11-20T20:02:33.060Z,,0,3,0,true,,,,,
552786262cec76ed95fd61d3,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:37.098Z,,,,,,,,,,
552786262cec76ed95fd61d6,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:37.098Z,,,,,,,,,,
552786262cec76ed95fd61d9,127.0.0.1,,0,1014386,234618,7653438,0,6639,school2.students,0,1,query,2350,2012-11-20T20:02:43.973Z,,10,10000000,0,,1,,,,
552786262cec76ed95fd61dc,127.0.0.1,,0,0,4,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.974Z,,,,,,,,,,
552786262cec76ed95fd61dd,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.975Z,,,,,,,,,,
552786262cec76ed95fd61e1,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:43.976Z,,,,,,,,,,
552786262cec76ed95fd61e3,127.0.0.1,,0,0,3,0,75,0,school2.student_grades,,0,insert,,2012-11-20T20:02:53.470Z,,,,,,,,,,
552786262cec76ed95fd61e7,127.0.0.1,,0,0,2,0,16,0,school2.student_grades,,0,insert,,2012-11-20T20:02:53.472Z,,,,,,,,,,
552786262cec76ed95fd61ea,127.0.0.1,,0,0,3,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:02:53.472Z,,,,,,,,,,
552786262cec76ed95fd61ed,127.0.0.1,,0,0,2,0,15,0,school2.student_grades,,0,insert,,2012-11-20T20:03:00.830Z,,,,,,,,,,
